gene_symbol;Fib;Fib;Fib;Fib;Fib;Fib;Fib;Fib;Fib;Fib;Neu;Neu;Neu;Neu;Neu;Neu;Neu;Neu;Neu;Neu;iPSC;iPSC;iPSC;iPSC;iPSC;iPSC;iPSC;iPSC;iPSC;iPSC
A1BG;169;191;264;42;302;159;220;259;201;262;217;56;300;111;6;96;43;56;51;424;118;11;92;90;21;54;88;32;73;122
A1BG-AS1;206;259;116;71;160;262;273;301;205;413;150;82;219;67;10;48;23;41;38;136;146;12;72;116;27;33;22;22;59;42
A1CF;9;12;0;0;6;0;3;6;0;7;0;42;0;0;0;6;12;3;3;0;36;21;21;27;51;48;24;33;27;6
A2M;3475;655;438;44;1126;596;1807;683;815;86;245;438;354;130;5;94;19;17;16;194;49637;5;56;162;245;54;14;212;23;8
A2M-AS1;55;21;15;3;28;16;24;35;38;38;11;27;10;24;0;31;6;1;1;14;548;3;10;16;11;2;17;5;11;11
A2ML1;1;0;0;0;1;1;2;2;0;2;0;1;1;0;0;5;0;0;0;2;22;166;871;456;415;193;583;398;596;601
A2MP1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;2;0;0;0;0;0;0
A3GALT2;1;0;1;0;1;2;1;1;0;1;1;0;1;0;0;0;0;1;1;1;3;0;0;0;0;0;0;0;1;0
A4GALT;667;1260;325;254;368;998;528;1138;327;1338;96;38;121;34;5;40;5;61;58;185;43;66;267;316;234;86;187;124;380;167
A4GNT;7;2;2;1;8;8;3;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1
AA06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AAAS;787;1617;795;473;802;1624;1368;1518;1182;1975;661;455;704;814;36;491;128;217;210;871;3435;831;3412;4026;2969;2874;2882;2304;3375;2575
AACS;538;1178;459;305;600;1055;651;1070;906;1202;3473;2125;3578;2893;92;1110;566;1358;1290;1879;989;560;1907;1653;1036;1520;1470;1091;1437;1249
AACSP1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;1;1;2;0;0;11;4;8;10;49;166;192;44
AADAC;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AADACL2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AADACL2-AS1;0;3;0;0;1;2;4;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AADACL3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;13;40;137;52;141;222;38;279;151
AADACL4;0;1;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
AADACP1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AADAT;817;1341;564;453;779;1829;1388;1609;1861;1398;809;1785;1163;1297;112;807;515;298;282;1026;2604;333;759;1461;1024;919;884;1097;1105;861
AAED1;0;1088;760;277;979;1219;654;1204;803;945;86;115;112;219;25;211;66;26;22;89;64;29;111;144;71;117;106;61;115;104
AAGAB;3992;5828;3302;1145;3496;5290;4187;4808;4364;4597;3143;6054;4865;6006;817;5079;1811;1152;1103;3479;7619;1203;4370;4719;2997;5516;3545;2968;3113;3763
AAK1;1721;2775;634;691;1172;1191;2425;1837;1719;2535;1912;4617;1897;4171;265;2651;893;1168;1085;1422;1290;261;974;810;659;767;668;729;694;387
AAMDC;257;304;318;114;296;280;302;273;191;515;169;59;108;449;4;99;38;41;40;169;240;64;301;283;173;206;257;95;297;223
AAMP;3064;4828;2495;1111;2969;3738;3505;4225;3573;5283;2201;1092;2551;970;62;1093;215;727;697;2565;7171;1451;6912;7516;4356;6713;5602;3779;5305;5951
AANAT;0;6;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;10;4;20;10;8;3;14;16;12;13
AAR2;2074;3635;1628;604;1713;1964;2068;2944;2495;2864;1926;1036;1938;1359;53;555;289;511;488;2263;4634;446;2444;3098;1466;2915;1984;1308;1377;1881
AARD;2;5;1;2;0;2;5;2;0;1;2;2;1;0;0;0;0;0;0;0;62;8;32;51;20;51;70;17;23;70
AARS;2859;7453;2583;1947;3197;6031;4740;6352;5158;4986;2111;1601;2941;2246;173;1938;450;855;806;2864;3831;2364;8352;9897;7788;9393;6927;8422;9090;5598
AARS2;302;549;152;96;226;555;323;403;524;592;383;227;404;380;5;115;34;129;119;451;1052;303;1275;1332;1444;679;628;1105;1105;644
AARSD1;382;741;389;184;357;585;546;696;581;694;373;312;555;279;26;248;68;117;114;515;900;241;869;998;544;853;936;486;809;959
AASDH;2197;2176;1380;584;1726;2829;2153;2086;1475;1833;1471;3020;1937;2284;235;1609;955;372;326;1319;2262;1072;4082;4153;2714;2174;1609;2334;2578;1536
AASDHPPT;935;1259;817;288;1001;1228;1050;1151;946;1220;1737;4594;2513;4315;208;1532;1203;574;539;1811;3366;329;1529;1545;892;1348;1170;971;1253;869
AASS;516;834;214;226;395;1064;501;700;582;572;49;151;108;325;23;212;110;111;104;63;3556;10350;24340;25153;44725;12286;25349;35313;36121;17424
AATBC;6;9;3;3;6;2;9;12;2;14;9;6;6;0;0;1;0;6;5;6;60;6;92;22;58;6;29;43;26;4
AATF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AATK;14;2;14;9;7;6;12;10;8;10;842;169;636;48;2;24;30;94;91;476;269;28;207;193;102;74;137;75;158;144
AATK-AS1;0;0;0;0;0;0;0;1;0;1;7;1;8;0;0;0;1;0;0;8;2;1;7;4;3;1;1;3;1;2
ABAT;1733;2051;442;551;1520;1498;1741;1072;1630;3149;159;253;293;267;0;21;69;77;70;151;19316;332;1416;1274;1000;916;779;682;1109;741
ABCA1;0;1077;170;141;625;836;787;712;582;1463;1073;349;481;369;159;1537;48;104;102;194;1802;183;963;483;1034;307;844;286;407;626
ABCA10;37;34;1;2;15;67;17;29;34;12;13;49;21;37;0;9;20;13;11;19;35;1;1;1;1;1;0;1;0;1
ABCA11P;218;139;102;40;135;143;117;119;124;163;146;163;146;292;3;140;123;70;66;138;282;62;320;413;269;261;148;280;343;89
ABCA12;5;25;0;0;0;13;16;10;50;15;31;39;23;126;48;57;0;14;14;0;12;2;18;17;8;14;0;12;12;3
ABCA13;10;33;9;3;2;19;162;67;45;12;3;120;7;20;3;141;22;30;29;10;28;1;5;5;25;5;39;95;2;11
ABCA17P;2;2;3;0;2;2;2;3;0;3;7;1;3;0;0;2;3;0;0;1;4;1;2;7;8;2;8;4;4;6
ABCA2;0;4441;774;641;1651;2896;3384;3543;3406;5822;3702;814;4103;1435;9;533;186;1351;1277;6433;3259;223;1649;2172;1618;456;704;1118;1293;634
ABCA3;64;73;31;7;26;54;54;87;31;145;1452;468;1022;401;0;48;65;154;147;983;744;186;1125;1060;659;433;442;474;801;315
ABCA4;26;8;6;2;12;15;5;15;11;16;13;19;11;0;2;0;2;3;3;6;26;0;12;24;7;11;4;4;4;2
ABCA5;733;1673;312;140;520;856;899;982;1211;703;1111;4831;1392;4089;206;2023;1505;348;328;448;610;28;63;81;108;46;120;149;97;110
ABCA6;838;943;216;24;324;1704;351;899;794;321;31;222;96;157;13;173;58;131;122;90;6;0;1;1;0;0;0;0;0;0
ABCA7;46;116;19;31;55;99;186;180;81;462;1010;392;1182;356;2;80;89;440;421;1126;395;193;673;766;960;217;388;589;759;364
ABCA8;3711;2367;336;59;471;3206;1527;178;21;103;2622;5625;2468;2598;249;3083;307;1124;1093;3135;945;0;3;2;0;0;0;5;5;0
ABCA9;518;715;111;13;182;865;181;570;463;111;41;355;109;56;41;351;47;238;225;107;107;2;3;33;4;5;6;6;9;4
ABCA9-AS1;9;14;5;0;2;17;2;11;11;4;0;13;2;0;0;15;2;4;3;1;3;0;1;9;5;2;2;5;4;2
ABCB1;1;4;0;0;1;2;1;7;0;4;13;16;24;99;0;0;27;1;1;19;147;3;6;21;2;21;13;13;10;15
ABCB10;669;827;375;212;572;927;640;721;704;927;101;238;206;495;39;322;81;73;71;114;535;127;348;461;401;385;365;308;432;235
ABCB11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
ABCB4;130;1255;90;91;190;627;374;1617;65;608;20;47;8;12;6;45;15;0;0;9;722;35;79;231;108;76;143;137;179;96
